3,68,1,LSM02L09,SELV0120,SELV0130,,CIT_01&SCIT_01,45,6,0,0,0,0,0,0
0,D1,D1,-C4,D1,0,0,0,0,D1,0,E1,D3,-B4,0,0
0,0,0,B4,E2,E1,0,D1,0,0,B4,D3,0,E1,0,0
,,,,,,,,,,,,,,,
0,0,0,-B4,D1,0,0,0,0,D1,0,D1,C4,0,0,C4
0,0,D1,0,-C2,B4,0,B2,0,0,0,B4,E4,E1,0,D3
,,,,,,,,,,,,,,,
0,E1,0,0,0,0,E4,E4,E4,0,D1,0,E4,0,0,E1
0,0,A5,0,0,0,E4,E4,E4,0,E4,-F2,D3,0,0,E1
,,,,,,,,,,,,,,,
0,0,A6,0,0,0,E1,0,E1,0,0,E4,E4,E2,0,E1
0,D3,0,0,0,0,E1,0,B4,0,0,B4,E4,E2,0,E1
,,,,,,,,,,,,,,,
0,0,C4,0,D1,0,0,0,0,0,D1,D1,C4,C4,0,C4
0,D1,0,0,C2,-B4,0,B4,0,B2,0,B4,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,D1,D1,C4,0,0,C4
0,B4,0,0,E2,-E1,0,D1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,D1,D1,0,D1,0,D1,0,D1,0,C4,C4,C4
C4,-D1,0,-B4,D1,D1,0,D1,0,D1,0,D1,0,B4,C4,B4
,,,,,,,,,,,,,,,
E4,0,-E2,-E1,0,0,E1,E1,0,0,E1,E1,0,0,0,E1
E4,0,E2,0,E1,D1,0,0,0,0,0,0,A5,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,E1,E1,0,E1,0,E1,0,-C2,E4,E4,0,E4
0,-E2,0,E1,D1,D1,0,D1,0,D1,0,-B4,D3,D3,0,E4
,,,,,,,,,,,,,,,
0,-E2,0,D3,E1,E1,0,E1,0,E1,0,-C2,C4,C4,0,C4
0,-E2,0,E1,D1,D1,0,D1,0,D1,0,-B4,E1,E1,0,E2
,,,,,,,,,,,,,,,
0,-D3,0,0,0,0,0,0,0,E1,0,E1,E1,0,0,E1
0,0,E4,0,E2,E1,0,D1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,E1,0,E1,E1,0,0,E1
0,0,E4,0,E2,E1,0,D1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,D1,D1,0,D1,0,D1,0,D1,0,C4,C4,C4
C4,-D1,0,-B4,D1,D1,0,D1,0,D1,0,D1,0,B4,C4,B4
,,,,,,,,,,,,,,,
E4,0,-E2,-E1,0,0,E1,E1,0,0,E1,E1,0,0,0,E1
E4,0,E2,0,E1,D1,0,0,0,0,0,0,A5,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,E1,E1,0,E1,0,E1,0,-C2,E4,E4,0,E4
0,-E2,0,E1,D1,D1,0,D1,0,D1,0,-B4,D3,D3,0,E4
,,,,,,,,,,,,,,,
0,-E2,0,D3,E1,E1,0,E1,0,E1,0,-C2,C4,C4,0,C4
0,-E2,0,E1,D1,D1,0,D1,0,D1,0,-B4,E1,E1,0,E2
,,,,,,,,,,,,,,,
0,-D3,0,0,E1,E1,0,E1,0,E1,0,-C2,E4,E4,0,E4
0,-E2,0,E1,D1,D1,0,D1,0,D1,0,-B4,D3,D3,0,E4
,,,,,,,,,,,,,,,
0,-E2,0,D3,E1,E1,0,E1,0,E1,0,-C2,C4,C4,0,C4
0,-E2,0,E1,D1,D1,0,D1,0,D1,0,0,0,0,0,0
