3,65,1,LSM02L10,SELV0120,SELV0130,CAT_16,TIT_01&STIT_01,60,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,D1,D7,D7,D8,0,D1,E1,0,D3,D1,0,C4,0,D1,0
,,,,,,,,,,,,,,,
0,C2,C2,D1,C2,D1,D1,E1,0,D3,D1,0,C4,0,C2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,D1,D7,D7,D7,D7,D8,E1,0,D3,D1,0,C4,0,D1,0
0,C2,C2,D1,D7,D7,D8,E1,0,D3,D1,0,C4,0,C2,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,C4,C4,C4,D1,C2
0,0,0,0,0,0,0,0,0,0,C4,0,C4,C4,D1,C2
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,D1,C4,0,C4,D1,C2
0,C2,C2,C2,0,E4,E4,E4,0,C2,D1,C4,0,D3,D1,E4
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,D1,0,D3,D1,E4
E4,E7,E7,E7,E7,E7,E8,D1,0,0,0,0,0,0,0,E4
,,,,,,,,,,,,,,,
E4,E7,E7,E7,E7,E7,E8,0,0,0,0,D1,0,D3,D1,E4
E4,E7,E7,E7,E7,E7,E8,D1,D7,D7,D7,D8,0,0,0,D1
,, ,,,,,,,,,,,,,
E1,E4,D1,E1,0,E4,0,D1,E1,E4,D1,E1,0,D3,0,D1
E1,E4,D1,E1,E2,E1,0,D1,E1,E4,D1,E1,E2,D3,E1,D1
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,C4,C4,C4,D1,C2
0,0,0,0,0,0,0,0,0,0,C4,0,C4,C4,D1,C2
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,D1,C4,0,C4,D1,C2
0,C2,C7,C8,0,E4,E7,E8,0,C2,D1,C4,0,D3,D1,E4
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,D1,0,D3,D1,E4
E4,E7,E7,E7,E7,E7,E8,D1,0,0,0,0,0,0,0,E4
,,,,,,,,,,,,,,,
E4,E7,E7,E7,E7,E7,E8,0,0,0,0,D1,0,D3,D1,E4
E4,E7,E7,E7,E7,E7,E8,D1,D7,D7,D7,D8,0,0,0,0
,,,,,,,,,,,,,,,
E4,E7,E7,E7,E7,E7,E8,0,0,0,0,D1,0,D3,D1,E4
E4,E7,E7,E7,E7,E7,E8,D1,0,0,0,0,0,0,0,E4
,,,,,,,,,,,,,,,
E4,E7,E7,E7,E7,E7,E8,0,0,0,0,D1,0,D3,D1,E4
E4,E7,E7,E7,E7,E7,E8,D1,D7,D7,D7,D8,0,0,0,D1
,,,,,,,,,,,,,,,
E1,E4,D1,E1,0,E4,0,D1,E1,E4,D1,E1,0,D3,0,D1
E1,E4,D1,E1,E2,E1,0,D1,E1,E4,D1,E1,E2,D3,E1,0
,,,,,,,,,,,,,,,
E1,E4,D1,E1,0,E4,0,D1,E1,E4,D1,E1,0,D3,0,D1
E1,E4,D1,E1,E2,E1,0,D1,E1,E4,D1,E1,E2,D3,E1,D1
