2,60,1,LSM03L02,SELV0120,SELV0130,CAT_15,TIT_01&STIT_01,30,4,0,0,0,0,0,0
0,0,0,0,C1,-C4,0,0,0,0,C1,-B3,0,0,0,0
C1,-B3,C1,C1,B3,0,0,0,0,0,0,0,A5,0,0,0
,,,,,,,,,,,,,,,
0,C4,C4,C4,D4,E3,-D4,D2,0,0,C4,-D2,0,0,C4,-D4
0,D4,0,D4,D4,0,0,C4,0,0,0,0,A6,0,0,0
,,,,,,,,,,,,,,,
0,C4,C4,C4,-D4,E3,0,E3,0,0,0,0,A5,0,0,F1
0,0,D4,0,-D2,E3,0,E3,0,0,0,0,A6,0,0,0
,,,,,,,,,,,,,,,
0,E3,E3,C1,-C1,E3,0,E3,0,D4,0,0,A5,0,0,F1
0,0,D2,0,-C4,D2,0,C4,0,0,0,0,A6,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,F1,0,0,F1,0,E3,0,0,0,0,0,0
0,0,D2,-C4,C1,-C4,0,D2,0,D4,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,F1,0,0,F1,0,E3,0,0,0,0,0,0
0,0,D2,-C4,C1,-C4,0,D2,0,C4,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,E3,E3,B3,-D4,E3,0,E3,0,0,0,0,A5,0,0,F1
0,0,D4,0,-D2,E3,0,E3,0,0,0,0,A6,0,0,0
,,,,,,,,,,,,,,,
0,E3,E3,C1,-C1,E3,0,E3,0,D4,0,0,0,0,0,F1
0,0,D2,0,-C4,D2,0,C4,0,0,C1,-B3,D4,0,0,C4
,,,,,,,,,,,,,,,
0,E3,E7,E7,E8,F1,0,E3,0,D4,0,D2,0,C4,0,E3
0,0,F1,0,F3,E3,0,D4,0,D2,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,E3,E7,E7,E8,F1,0,E3,0,D4,0,D2,0,C4,0,D4
0,D4,D7,D7,D8,0,0,0,0,0,0,0,0,0,0,0
