3,65,1,LSM03L03,SELV0120,SELV0130,,CIT_01_ADS&SCIT_01,60,8,0,0,0,0,0,0
0,C1,C4,0,0,0,0,C1,B3,0,0,0,0,C1,B3,C1
C1,B3,0,0,0,0,0,0,0,A5,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,C1,C4,0,0,0,0,C1,B3,0,0,0,B3,C1,B3,C1
C1,C4,0,0,D4,0,0,C4,0,0,0,0,0,0,C4,C4
,,,,,,,,,,,,,,,
C4,D4,E3,D4,D2,0,0,C4,D2,0,0,C4,D4,0,D4,0
D4,D4,0,0,C4,0,0,0,0,A6,0,0,0,0,0,C1
,,,,,,,,,,,,,,,
B3,D4,E3,D4,D2,0,0,C4,D2,0,0,0,0,0,0,D4
0,C3,0,0,C1,0,B3,C1,C4,0,0,0,0,0,C4,C4
,,,,,,,,,,,,,,,
C4,D4,E3,0,E3,0,0,0,0,A5,0,0,F1,0,0,D4
0,D2,E3,0,E3,0,0,0,0,A6,0,0,0,0,E3,E3
,,,,,,,,,,,,,,,
C1,C1,E3,0,E3,0,D4,0,0,A5,0,0,F1,0,0,D2
0,C4,E3,0,C4,0,0,0,0,A6,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,D2,0,C4,D2,0,D4,0,0,0,0,0,D4
0,C4,0,0,B3,0,0,0,0,0,D4,D7,D7,D8,E3,D4
,,,,,,,,,,,,,,,
D2,C4,D2,0,C4,0,B3,C1,0,B3,0,0,0,0,D4,D4
D4,D4,0,0,0,0,0,0,0,C4,0,0,0,0,E3,0
,,,,,,,,,,,,,,,
D4,E3,D4,D2,C4,D2,D4,0,D4,0,0,0,0,0,E3,0
D4,E3,D4,E3,D4,E3,F1,0,F3,0,E3,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,F3,F1,F3,0,F3,0,0,F3,0,0,0,0,0,F4
0,G2,0,0,0,0,0,G4,F4,0,0,0,0,0,E3,E3
,,,,,,,,,,,,,,,
B3,D4,E3,0,E3,0,0,0,0,A5,0,0,F1,0,0,D4
0,D2,E3,0,E3,0,0,0,0,A6,0,0,0,0,E3,E3
,,,,,,,,,,,,,,,
C1,C1,E3,0,E3,0,D4,0,0,0,0,0,F1,0,0,D2
0,C4,D2,0,C4,0,0,C1,B3,D4,0,0,C4,0,E3,E3
,,,,,,,,,,,,,,,
E3,E3,F1,0,E3,0,D4,0,D2,0,C4,0,E3,0,0,F1
0,F3,E3,0,D4,0,D2,0,0,0,0,0,0,0,E3,E3
,,,,,,,,,,,,,,,
E3,E3,F1,0,E3,0,D4,0,D2,0,C4,0,D4,0,D4,D4
D4,D4,0,0,0,0,0,0,0,E3,D4,0,E3,0,D4,D2
,,,,,,,,,,,,,,,
0,C1,C4,0,0,0,0,C1,B3,0,0,0,0,0,B3,C1
B3,C4,0,0,D4,0,0,0,0,E3,D4,D2,C4,0,D4,D4
,,,,,,,,,,,,,,,
D4,D7,D7,D8,E3,0,0,F1,D4,D2,0,C4,D2,0,D4,0
B3,C1,B3,C1,B3,C1,B3,C1,C4,0,D4,0,D4,D4,0,C4
,,,,,,,,,,,,,,,
0,D4,D2,D4,0,D4,0,E3,0,0,0,0,F1,0,0,D2
0,D2,C4,D2,C4,D4,0,C4,0,0,0,0,C4,0,C4,0
,,,,,,,,,,,,,,,
B3,C1,C4,C7,C7,C8,D4,D7,D7,D8,E3,E7,E8,F3,E3,0
B3,B3,0,0,B3,0,B3,F3,0,0,F4,0,0,0,E3,E3
,,,,,,,,,,,,,,,
B3,D4,E3,0,E3,0,0,0,0,A5,0,0,F1,0,0,D4
0,D2,E3,0,E3,0,0,0,0,A6,0,0,0,0,E3,E3
,,,,,,,,,,,,,,,
C1,C1,E3,0,E3,0,D4,0,0,0,0,0,F1,0,0,D2
0,C4,D2,0,C4,0,0,C1,B3,D4,0,0,C4,0,E3,E3
,,,,,,,,,,,,,,,
E3,E3,F1,0,E3,0,D4,0,D2,0,C4,0,E3,0,0,F1
0,F3,E3,0,D4,0,D2,0,0,0,0,0,0,0,E3,E3
,,,,,,,,,,,,,,,
E3,E3,F1,0,E3,0,D4,0,D2,0,C4,0,D4,0,D4,D4
D4,D4,0,0,0,0,0,0,0,E3,D4,0,E3,0,D4,D2
