2,70,1,LSM04L02,SELV0120,SELV0130,CAT_21,TIT_01&STIT_01,45,2,0,0,0,0,0,0
0,0,0,F2,0,F2,0,F2,0,E4,0,E3,0,E1,0,E1
-E3,E1,0,D3,0,0,0,A5,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,C4,0,E1,0,E1,0,E1,D3,E3,0,E3,0,E1,0,0
0,C4,0,E1,0,E1,E1,E1,D3,E3,0,E3,0,E1,0,D3
,,,,,,,,,,,,,,,
0,E3,0,E1,E3,E1,E3,E1,D3,E1,0,D3,0,E3,0,0
0,E1,E3,E1,E3,E1,E3,E1,D3,E1,0,D3,0,E3,0,0
,,,,,,,,,,,,,,,
0,E3,0,E3,0,E3,0,E3,-E1,D3,0,E3,0,E1,0,0
0,C4,0,C4,-D3,E1,0,E1,-D3,C4,0,E3,0,E1,0,0
,,,,,,,,,,,,,,,
0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,C4,D3,0,E1
0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,C4,D3,0,E1
,,,,,,,,,,,,,,,
0,D3,0,D3,0,D3,0,D3,0,D3,D3,D3,-C4,D3,0,E1
0,D3,D3,D3,0,D3,0,D3,D3,D3,0,D3,C4,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,D3,0,0,0,D3,E1,E3,E1,E3,E1,0,0,0
0,E3,0,D3,0,E3,0,D3,0,E3,0,D3,0,E3,0,D3
,,,,,,,,,,,,,,,
0,E1,0,E3,0,E1,D3,D3,E1,E3,0,E1,0,0,D3,0
0,E1,0,E3,0,E1,D3,D3,E1,E3,E7,E7,E8,-E1,0,0
