1,60,1,LSM04L07,SELV0120,SELV0130,CAT_24,CIT_01&SCIT_01,30,2,0,0,0,0,0,0
0,D4,-E2,E4,0,D4,0,D4,D7,D7,D7,D8,0,D4,0,D4
D4,D4,-D1,D4,0,D4,-D1,D4,-E2,E4,-E2,0,D4,0,E4,0
,,,,,,,,,,,,,,,
0,D4,-E2,E4,0,D4,0,D4,D4,D4,0,D4,D7,D7,D7,D8
0,D1,0,D4,D4,D4,-D1,D4,-E2,E4,-E2,0,E4,0,0,0
,,,,,,,,,,,,,,,
0,0,0,A5,0,A6,0,0,0,0,0,0,0,0,0,0
D1,-D4,D1,-D4,0,D4,-D1,D4,-E2,E4,-E2,0,E4,0,0,0
,,,,,,,,,,,,,,,
0,0,0,A5,0,A6,0,0,0,0,0,0,0,0,0,0
0,0,0,D4,0,D4,-D1,D4,-E2,E4,-E2,0,E4,0,0,0
,,,,,,,,,,,,,,,
0,D4,-E2,E4,-E2,E4,0,E2,0,0,0,0,A5,0,0,0
0,D4,-E2,E4,-E2,E4,0,E2,0,0,0,0,A6,0,0,0
,,,,,,,,,,,,,,,
0,D4,-E2,E4,-E2,E4,0,F3,0,F3,-E4,F3,0,A5,0,0
0,0,0,0,0,A6,0,0,0,0,0,0,0,0,0,0
