3,57,50,LSM06L06,SELV0120,SELV0130,,CIT_01&SCIT_01,60,6,0,0,0,0,0,0
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,0,0
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,0,0
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,0,0
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
