2,65,1,LSMS1L05,SELV0120,SELV0130,CAT_07,CIT_01&SCIT_01,60,4,0,0,0,0,0,0
0,D4,0,D4,0,D4,0,D4,D4,F3,F7,F7,F7,F8,0,0
F3,E3,0,E3,E3,E3,0,E3,E3,F1,F1,F1,0,F1,0,0
,,,,,,,,,,,,,,,
0,D4,D7,D7,D7,D7,D7,D7,D8,F3,F3,F3,0,F3,0,F3
F3,E3,0,E3,0,E3,0,A6,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,F3,F3,F1,E3,0,0,E3,E3,F1,0,E3,F1,0,0,0
0,F1,0,E3,0,F1,0,F3,F3,F1,0,E3,D4,0,0,0
,,,,,,,,,,,,,,,
0,F3,F3,F1,E3,0,0,E3,E3,F1,F1,E3,F1,0,0,0
0,F1,F1,E3,F1,0,0,F3,F3,F1,F1,E3,D4,0,0,0
,,,,,,,,,,,,,,,
0,D4,0,D4,0,D4,0,D4,D4,F3,F7,F7,F7,F8,0,0
F3,E3,0,E3,E3,E3,0,E3,E3,F1,F1,F1,0,F1,0,0
,,,,,,,,,,,,,,,
0,D4,D7,D7,D7,D7,D7,D7,D8,F3,F3,F3,0,F3,0,F3
F3,E3,0,E3,0,E3,0,A6,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,F3,0,F1,E3,0,E3,E3,E3,F1,0,E3,F1,0,0,0
0,F1,0,E3,0,F1,0,F3,F3,F1,0,E3,D4,0,0,0
,,,,,,,,,,,,,,,
0,F3,0,F1,E3,0,0,E3,E3,F1,0,E3,F3,0,F1,0
0,F1,F1,E3,F1,0,0,F3,F3,F1,F1,E3,D4,0,0,0
,,,,,,,,,,,,,,,
0,D4,0,D4,0,D4,0,D4,D4,F3,F7,F7,F7,F8,0,0
F3,E3,E7,E7,E7,E7,E7,E7,E8,F1,E7,E7,E7,F8,0,0
,,,,,,,,,,,,,,,
0,D4,0,D4,0,D4,0,D4,D4,F3,F7,F7,F7,F8,0,0
F3,E3,E7,E7,E7,E7,E7,E7,E8,F1,E7,E7,E7,F8,0,A5
