1,58,1,LSMS1L07,SBLV0120,SBLV0130,CAT_08,CFT_01&SCFT_01,60,2,0,0,0,0,0,0
0,B4,-B2,0,0,D3,0,0,0,D1,-C3,D1,C3,-B4,0,C3
0,B4,-B2,D3,0,D3,D3,0,D3,D3,-E2,D3,D1,-C3,0,D1
,,,,,,,,,,,,,,,
0,0,0,E2,0,E2,-D3,C3,0,C3,C3,C3,0,B2,-D4,0
A5,0,0,E2,0,E2,-D3,C3,0,C3,C3,C3,0,B2,-D4,0
,,,,,,,,,,,,,,,
0,0,0,0,0,C3,C7,C7,C7,C8,-B4,D1,-D3,0,D4,0
0,C3,C3,-E2,-E2,D3,D3,C3,0,C3,0,C3,D3,0,D1,0
,,,,,,,,,,,,,,,
0,0,B4,-C3,B4,C3,C3,0,C3,C3,D3,0,0,D3,-B4,0
C3,0,0,C3,C7,C7,C7,C7,C7,C8,-B4,D1,0,D3,-D1,0
,,,,,,,,,,,,,,,
0,0,0,0,0,C3,C7,C7,C7,C8,-B4,D1,-D3,0,D4,0
0,C3,C3,-E2,-E2,D3,D3,C3,0,C3,0,C3,D3,0,D1,0
,,,,,,,,,,,,,,,
0,0,0,D3,0,0,-D4,D3,0,C3,0,D3,C3,C3,0,D1
0,D3,0,D3,0,0,-D4,D3,0,C3,0,A5,A7,A7,A7,A8
