1,64,50,LSMS1L13,SELV0120,SELV0130,CAT_15,CIT_01&SCIT_01,60,2,0,0,0,0,0,0
0,B3,-C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,-B3,0,C2
0,B3,-C2,D2,0,D2,D2,D2,0,C4,C2,-C4,D2,-B3,0,C2
,,,,,,,,,,,,,,,
0,0,0,E1,0,E1,D2,C2,0,C2,C2,C2,0,C4,-B3,0
C2,0,0,E1,0,E1,D2,C2,0,C2,C2,C2,0,C4,-D3,0
,,,,,,,,,,,,,,,
0,B3,-C2,E1,E1,-D2,0,C2,C2,C2,0,C2,0,C4,-B3,0
0,B3,-C2,E1,E1,-D2,0,C2,0,C2,-B3,C2,0,C4,-B3,0
,,,,,,,,,,,,,,,
0,B3,-C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,-B3,0,C2
0,B3,-C2,D2,0,D2,D2,D2,0,-C4,C2,-C4,D2,-B3,0,C2
,,,,,,,,,,,,,,,
0,B3,-C2,D2,0,D2,0,D2,D2,-C4,C2,-C4,D2,-B3,0,C2
0,B3,-C2,D2,-C4,D2,-C4,D2,D2,-C4,C2,-C4,D2,-B3,0,C2
,,,,,,,,,,,,,,,
0,B3,-C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,-B3,0,C2
0,B3,-C2,D2,0,D2,D2,D2,0,-C4,C2,-C4,D2,-B3,0,C2
,,,,,,,,,,,,,,,
0,B3,-C2,D2,0,D2,0,D2,D2,-C4,C2,-C4,D2,-B3,0,C2
0,B3,-C2,D2,-C4,D2,-C4,D2,D2,-C4,C2,-C4,D2,-B3,0,C2
