3,76,1,LSMS1L15,SELV0120,SELV0130,,CIT_01_ADS&SCIT_01,60,7,0,0,0,0,0,0
0,B3,C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,0,D2,D2,D2,0,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,0,D2,D2,C4,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,C4,D2,C4,D2,D2,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,0,E1,0,E1,D2,C2,0,C2,C2,C2,0,C4,B3,0
C2,0,0,E1,0,E1,D2,C2,0,C2,C2,C2,0,C4,D3,0
,,,,,,,,,,,,,,,
0,D2,-C4,E1,0,E1,D2,C2,0,C2,C2,C2,0,C4,B3,0
C2,0,0,E1,0,E1,D2,C2,0,C2,C2,C2,C4,D2,C4,0
,,,,,,,,,,,,,,,
C2,B3,-C2,E1,E1,D2,0,C2,C2,C2,0,C2,0,C4,B3,0
0,B3,-C2,E1,E1,D2,0,C2,0,C2,B3,C2,0,C4,B3,0
,,,,,,,,,,,,,,,
0,B3,-C2,E1,E1,D2,0,C2,C2,C2,B3,C2,0,C4,B3,0
B3,-C2,E1,0,0,D3,0,D2,0,C4,C2,C2,0,C4,0,B3
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,0,D2,D2,D2,0,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,0,D2,D2,C4,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,C4,D2,C4,D2,D2,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,0,D2,D2,D2,0,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,0,D2,D2,C4,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,C4,D2,C4,D2,D2,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,0,0,0,B3,0,0,0,B3,0,0,0,B3,0,0
0,B3,0,0,0,B3,0,0,0,B3,0,0,0,B3,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,B3,0,0,0,B3,0,0,0,B3,0,0
0,B3,0,0,0,B3,0,0,0,B3,0,0,0,B3,0,0
,,,,,,,,,,,,,,,
0,0,0,E1,0,D2,0,E1,0,D2,0,E1,E1,E3,0,D2
0,D3,0,E1,0,D2,0,E1,0,D2,0,E1,E1,E3,0,D2
,,,,,,,,,,,,,,,
0,D3,0,E1,0,D2,0,E1,0,D2,0,E1,E1,E3,0,D2
0,D3,0,E1,0,D2,0,E1,0,D2,0,E1,E1,E3,0,D2
,,,,,,,,,,,,,,,
0,D3,0,E1,0,0,0,0,0,0,0,0,0,0,0,F2
0,F4,F2,0,0,0,0,0,0,0,F2,0,E3,-E1,D2,0
,,,,,,,,,,,,,,,
0,0,0,E1,0,D2,0,E1,0,D2,0,E1,E1,E3,0,D2
0,D3,0,E1,0,D2,0,E1,0,D2,0,E1,E1,E3,0,D2
,,,,,,,,,,,,,,,
0,D3,0,E1,0,0,0,0,0,0,0,0,0,0,0,F2
0,F4,F2,0,0,0,0,0,0,0,F2,0,E3,-E1,D2,D2
,,,,,,,,,,,,,,,
0,D3,0,E1,0,0,0,0,0,0,0,0,0,0,0,E2
E2,0,E4,0,F2,0,F4,0,G2,0,H1,H7,H7,H7,H8,0
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,0,D2,D2,D2,0,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,0,D2,D2,C4,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,C4,D2,C4,D2,D2,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,D2,0,C4,0,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,0,D2,D2,D2,0,C4,C2,-C4,D2,B3,0,C2
,,,,,,,,,,,,,,,
0,B3,C2,D2,0,D2,0,D2,D2,C4,C2,-C4,D2,B3,0,C2
0,B3,C2,D2,C4,D2,C4,D2,D2,C4,C2,-C4,D2,B3,0,C2
