Lv,Type,Exp,Hp
1,CLV,9,300
2,CLV,30,312
3,CLV,57,324
4,CLV,90,336
5,CLV,129,348
6,CLV,174,360
7,CLV,225,372
8,CLV,282,384
9,CLV,345,396
10,CLV,414,408
11,CLV,492,420
12,CLV,582,432
13,CLV,684,444
14,CLV,798,456
15,CLV,924,468
16,CLV,1065,480
17,CLV,1224,492
18,CLV,1401,504
19,CLV,1596,516
20,CLV,1809,528
21,CLV,2043,540
22,CLV,2301,552
23,CLV,2583,564
24,CLV,2889,576
25,CLV,3219,588
26,CLV,3576,600
27,CLV,3963,612
28,CLV,4380,624
29,CLV,4827,636
30,CLV,5304,648
31,CLV,5814,660
32,CLV,6360,672
33,CLV,6942,684
34,CLV,7560,696
35,CLV,8214,708
36,CLV,8910,720
37,CLV,9654,732
38,CLV,10446,744
39,CLV,11286,756
40,CLV,12174,768
41,CLV,13116,780
42,CLV,14118,792
43,CLV,15180,804
44,CLV,16302,816
45,CLV,17484,828
46,CLV,18741,840
47,CLV,20088,852
48,CLV,21525,864
49,CLV,23052,876
50,CLV,24669,888
