ID,Name,SkillNote
C01,橘毛,技能：我很会跑        跑酷模式伤害减少10%
C02,黑脸,技能：我很爱跳        跳舞模式伤害减少10%
C03,肥三,技能：我很能打        对战模式伤害减少10%
C04,喵喵,技能：我超会跑        跑酷模式伤害减少20%
C05,香蕉,技能：我超爱跳        跳舞模式伤害减少20%
C06,瞎抖,技能：我超能打        对战模式伤害减少20%
C07,三花,技能：我很会跑        跑酷模式伤害减少10%
C08,黑轮,技能：我很爱跳        跳舞模式伤害减少10%
C09,狸猫,技能：我很能打        对战模式伤害减少10%
C10,普鲁士蓝,技能：叫我超跑        跑酷模式伤害减少30%
C11,单行道,技能：叫我舞王        跳舞模式伤害减少30%
C12,椪柑,技能：斯巴达!           对战模式伤害减少30%
C13,娜娜,技能：我很会跑        跑酷模式伤害减少10%
C14,歌舞伎,技能：我很爱跳        跳舞模式伤害减少10%
C15,黑桃,技能：我很能打        对战模式伤害减少10%
C16,阴阳师,技能：我专跑马拉松  跑酷模式伤害减少40%
C17,牛奶,技能：我可以跳通宵  跳舞模式伤害减少40%
C18,望远镜,技能：我一次打十个  对战模式伤害减少40%
C19,蓝带,技能：我超会跑        跑酷模式伤害减少20%
C20,酱油,技能：我超爱跳        跳舞模式伤害减少20%
C21,领太多,技能：我超能打        对战模式伤害减少20%
C22,吊眼,技能：我专跑马拉松  跑酷模式伤害减少40%
C23,芝麻,技能：我可以跳通宵  跳舞模式伤害减少40%
C24,法老,技能：我一次打十个  对战模式伤害减少40%
CM1,猞猁,技能：我可以跳通宵  跳舞模式伤害减少50%
CM2,短尾猫,技能：我一次打十个  对战模式伤害减少50%
CM3,加拿大猞猁,技能：我专跑马拉松  跑酷模式伤害减少50%
CM4,伊比利亚猞猁,技能：我专跑马拉松  跑酷模式伤害减少50%
