ID,Name,SkillNote
C01,GM,I'm good at running            Parkouring mode damage reduced by 10%
C02,Dark face,I love to dance                  Dancing mode damage reduced by 10%
C03,Far Sir,I'm good at fighting            Fighting mode damage reduced by 10%
C04,Meow2,I'm super good at running   Parkouring mode damage reduced by 20%
C05,Banana,I'm born to dance              Dancing mode damage reduced by 20%
C06,Shadow,I'm super good at fighting  Fighting mode damage reduced by 20%
C07,Sun flower,I'm good at running           Parkouring mode damage reduced by 10%
C08,Oden,I love to dance                 Dancing mode damage reduced by 10%
C09,Raccoon,I'm good at fighting           Fighting mode damage reduced by 10%
C10,Prussianblue,Call me sports car            Parkouring mode damage reduced by 30%
C11,One way,Call me dancing king        Dancing mode damage reduced by 30%
C12,Orange,Sparta!!                           Fighting mode damage reduced by 30%
C13,Nana,I'm good at running           Parkouring mode damage reduced by 10%
C14,Kabuki,I love to dance                 Dancing mode damage reduced by 10%
C15,Spades,I'm good at fighting           Fighting mode damage reduced by 10%
C16,onmyoji,I'm a marathon runner       Parkouring mode damage reduced by 40%
C17,Milk,Let's dance all night long   Dancing mode damage reduced by 40%
C18,Telescope,I can fight against 10        Fighting mode damage reduced by 40%
C19,Blue ribbon,I'm super good at running   Parkouring mode damage reduced by 20%
C20,Shoyu,I'm born to dance              Dancing mode damage reduced by 20%
C21,Over pay,I'm super good at fighting  Fighting mode damage reduced by 20%
C22,Sharp eye,I'm a marathon runner       Parkouring mode damage reduced by 40%
C23,Sesame,Let's dance all night long   Dancing mode damage reduced by 40%
C24,Pharaoh,I can fight against 10        Fighting mode damage reduced by 40%
CM1,Lynx,Let's dance all night long   Dancing mode damage reduced by 50%
CM2,Lynx rufus,I can fight against 10        Fighting mode damage reduced by 50%
CM3,Lynx canadensis,I'm a marathon runner       Parkouring mode damage reduced by 50%
CM4,Lynx pardinus,I'm a marathon runner       Parkouring mode damage reduced by 50%
