Id,Desc
IAPDlg,Get More Ticket & Gold
LoadDlg,Loading
NewCatDlg,Get Cat
NewSPhotoDlg,Get Photo
NewBPhotoDlg,Get Panorama Photo
StorageDlg,Item Storage
BuyGachaDlg,Ulock Cat Tree
MailGiftDlg,Gift List
NewItemDlg,Get Item
LoginDlg,Enter Your Name
DownloadDlg,Download Game Data...
TutorialDlg,Tutorial
StaffDlg,Staff List
LanguageDlg,Change Language
InviteDlg,Invite Friend
MessegnDlg,Message
TransferDlg,Data Transfer
AlbumDlg01,Photo of Houtong
AlbumDlg02,Photo of Zamami
AlbumDlg03,Photo of Tokashiki
AlbumDlg04,Photo of CPDC
AlbumDlg05,Photo of Orchid
AlbumDlg06,Photo of Taketomi
AlbumDlgS1,Photo of Penghu
AlbumDlgS2,Photo of Naha
MusicDlg,Music Player
StageitemDlg,Level Reward Probability
