ID,Name,Desc
I10010,猫罐,在互动模式与游玩关卡食用，可恢复HP50。
I10020,牛奶,在互动模式与游玩关卡食用，可恢复HP150。
I10030,干干,在互动模式与游玩关卡食用，可恢复HP300。
I10040,猫草,在互动模式与游玩关卡食用，可恢复HP500。
I10050,小鱼干,在互动模式与游玩关卡食用，可恢复HP250。
I10060,柴鱼,在互动模式与游玩关卡食用，可恢复HP500。
I10070,鲜鱼,在互动模式与游玩关卡食用，可恢复HP500并增加EXP500。
I10080,高级餐包,在互动模式与游玩关卡食用，可恢复HP1000并增加EXP1000。
I20010,数位相机,在探索模式使用，可获得一张一般照片。
I20020,拍立得相机,在探索模式使用，可获得一张一般照片，并减少等待时间50%。
I20030,运动相机,在探索模式使用，可获得一张一般照片，并减少等待时间100%。
I20040,单眼相机,在探索模式使用，可获得一张一般照片，并有20%机率获得环景照片。
I20050,数位单眼相机,在探索模式使用，可获得一张一般照片，并有40%机率获得环景照片。
I20060,蛇腹相机,在探索模式使用，可获得一张一般照片，并有50%机率获得第二张照片。
I20070,双眼相机,在探索模式使用，可获得二张一般照片。
I20080,120相机,在探索模式使用，可获得二张一般照片，并有40%机率获得环景照片。
I21010,自拍棒,在探索模式使用，可减少拍摄等待时间50%
I21020,相机脚架,在探索模式使用，可减少拍摄等待时间100%。
I30010,雷射光笔,成猫体型专用玩具，在互动模式使用，可增加经验值50。
I30020,玩具老鼠,成猫体型专用玩具，在互动模式使用，可增加经验值200。
I30030,取消中,
I30040,逗猫棒,幼猫体型专用玩具，在互动模式使用，可增加经验值50。
I30050,毛线球,幼猫体型专用玩具，在互动模式使用，可增加经验值200。
I30060,取消中,
I30070,猫抓板,胖猫体型专用玩具，在互动模式使用，可增加经验值50。
I30080,暖炉,胖猫体型专用玩具，在互动模式使用，可增加经验值200。
I30090,取消中,
I30100,取消中,
I30110,取消中,
I31010,猫草喷剂,在探索模式与互动模式使用，可减少等待时间50%。
I31020,罐装干猫草,在探索模式与互动模式使用，可减少等待时间100%。
I32010,宅配纸箱,成猫体型专用道具，在探索模式使用，可捕捉到成猫。
I32020,扫地机器人,幼猫体型专用道具，在探索模式使用，可捕捉到幼猫。
I32030,沙发床,胖猫体型专用道具，在探索模式使用，可捕捉到胖猫。
I40010,猫金币 250,获得猫金币 250
I40020,猫金币 500,获得猫金币 500
I40030,猫金币 750,获得猫金币 750
I40040,猫金币 1000,获得猫金币 1000
I40050,猫金币 1500,获得猫金币 1500
I41010,猫银票 20,获得猫银票 20
I41020,猫银票 40,获得猫银票 40
I41030,猫银票 10,获得猫银票 10
I41040,猫银票 5,获得猫银票 5
I41050,猫银票 2,获得猫银票 2
I41060,猫银票 1,获得猫银票 1
I41070,預留空位,
I41080,預留空位,
I41090,預留空位,
I41100,預留空位,
I41110,預留空位,
I41120,預留空位,
I50010,鲑鱼,大型猫专用食物，在互动模式与游玩关卡食用，可恢复HP150。
I50020,带骨肉,大型猫专用食物，在互动模式与游玩关卡食用，可恢复HP300。
I50030,烤乳猪,大型猫专用食物，在互动模式与游玩关卡食用，可恢复HP1000并增加EXP500。
I60010,南瓜,猞猁体型专用玩具，在互动模式使用，可增加经验值100。
I60020,木人桩,猞猁体型专用玩具，在互动模式使用，可增加经验值300。
I60030,取消中,
I62010,雪橇,猞猁体型专用道具，在探索模式使用，可捕捉到猞猁。
