ID,Name,Desc
I10010,貓罐,在互動模式與遊玩關卡食用，可恢復HP50。
I10020,牛奶,在互動模式與遊玩關卡食用，可恢復HP150。
I10030,乾乾,在互動模式與遊玩關卡食用，可恢復HP300。
I10040,貓草,在互動模式與遊玩關卡食用，可恢復HP500。
I10050,小魚乾,在互動模式與遊玩關卡食用，可恢復HP250。
I10060,柴魚,在互動模式與遊玩關卡食用，可恢復HP500。
I10070,鮮魚,在互動模式與遊玩關卡食用，可恢復HP500並增加EXP500。
I10080,高級餐包,在互動模式與遊玩關卡食用，可恢復HP1000並增加EXP1000。
I20010,數位相機,在探索模式使用，可獲得一張一般照片。
I20020,拍立得相機,在探索模式使用，可獲得一張一般照片，並減少等待時間50%。
I20030,運動相機,在探索模式使用，可獲得一張一般照片，並減少等待時間100%。
I20040,單眼相機,在探索模式使用，可獲得一張一般照片，並有20%機率獲得環景照片。
I20050,數位單眼相機,在探索模式使用，可獲得一張一般照片，並有40%機率獲得環景照片。
I20060,蛇腹相機,在探索模式使用，可獲得一張一般照片，並有50%機率獲得第二張照片。
I20070,雙眼相機,在探索模式使用，可獲得二張一般照片。
I20080,120相機,在探索模式使用，可獲得二張一般照片，並有40%機率獲得環景照片。
I21010,自拍棒,在探索模式使用，可減少拍攝等待時間50%
I21020,相機腳架,在探索模式使用，可減少拍攝等待時間100%。
I30010,雷射光筆,成貓體型專用玩具，在互動模式使用，可增加經驗值50。
I30020,玩具老鼠,成貓體型專用玩具，在互動模式使用，可增加經驗值200。
I30030,取消中,
I30040,逗貓棒,幼貓體型專用玩具，在互動模式使用，增加經驗值50。
I30050,毛線球,幼貓體型專用玩具，在互動模式使用，增加經驗值200。
I30060,取消中,
I30070,貓抓板,胖貓體型專用玩具，在互動模式使用，增加經驗值50。
I30080,暖爐,胖貓體型專用玩具，在互動模式使用，增加經驗值200。
I30090,取消中,
I30100,取消中,
I30110,取消中,
I31010,貓草噴劑,在探索模式與互動模式使用，可減少等待時間50%。
I31020,罐裝乾貓草,在探索模式與互動模式使用，可減少等待時間100%。
I32010,宅配紙箱,成貓體型專用道具，在探索模式使用，可捕捉到成貓。
I32020,掃地機器人,幼貓體型專用道具，在探索模式使用，可捕捉到幼貓。
I32030,沙發床,胖貓體型專用道具，在探索模式使用，可捕捉到胖貓。
I40010,貓金幣 250,獲得貓金幣 250
I40020,貓金幣 500,獲得貓金幣 500
I40030,貓金幣 750,獲得貓金幣 750
I40040,貓金幣 1000,獲得貓金幣 1000
I40050,貓金幣 1500,獲得貓金幣 1500
I41010,貓銀票 20,獲得貓銀票 20
I41020,貓銀票 40,獲得貓銀票 40
I41030,貓銀票 10,獲得貓銀票 10
I41040,貓銀票 5,獲得貓銀票 5
I41050,貓銀票 2,獲得貓銀票 2
I41060,貓銀票 1,獲得貓銀票 1
I41070,預留空位,
I41080,預留空位,
I41090,預留空位,
I41100,預留空位,
I41110,預留空位,
I41120,預留空位,
I50010,鮭魚,大型貓專用食物，在互動模式與遊玩關卡食用，可恢復HP150。
I50020,帶骨肉,大型貓專用食物，在互動模式與遊玩關卡食用，可恢復HP300。
I50030,烤乳豬,大型貓專用食物，在互動模式與遊玩關卡食用，可恢復HP1000並增加EXP500。
I60010,南瓜,猞猁體型專用玩具，在互動模式使用，可增加經驗值100。
I60020,木人樁,猞猁體型專用玩具，在互動模式使用，可增加經驗值300。
I60030,取消中,
I62010,雪橇,猞猁體型專用道具，在探索模式使用，可捕捉到猞猁。
