StageId,Name,TextGameMode,TextArtistTitle,TextSongTitle
Map01_00n,Tutorial,Tutorial,,
Map01_0An,SYNC,SYNC,,
Map01_01e,猴硐 關卡 01,跳舞模式,MUSDM,喵喵頌
Map01_01n,猴硐 關卡 01,跳舞模式,MUSDM,喵喵頌
Map01_01h,猴硐 關卡 01,跳舞模式,MUSDM,喵喵頌
Map01_02e,猴硐 關卡 02,對戰模式,MUSDM,喵喵頌
Map01_02n,猴硐 關卡 02,對戰模式,MUSDM,喵喵頌
Map01_02h,猴硐 關卡 02,對戰模式,MUSDM,喵喵頌
Map01_03e,猴硐 關卡 03,跑酷模式,MUSDM,喵喵頌
Map01_03n,猴硐 關卡 03,跑酷模式,MUSDM,喵喵頌
Map01_03h,猴硐 關卡 03,跑酷模式,MUSDM,喵喵頌
Map01_04e,猴硐 關卡 04,跳舞模式,mGee,Summer dreamin
Map01_04n,猴硐 關卡 04,跳舞模式,mGee,Summer dreamin
Map01_04h,猴硐 關卡 04,跳舞模式,mGee,Summer dreamin
Map01_05e,猴硐 關卡 05,對戰模式,mGee,Summer dreamin
Map01_05n,猴硐 關卡 05,對戰模式,mGee,Summer dreamin
Map01_05h,猴硐 關卡 05,對戰模式,mGee,Summer dreamin
Map01_06e,猴硐 關卡 06,跑酷模式,mGee,Summer dreamin
Map01_06n,猴硐 關卡 06,跑酷模式,mGee,Summer dreamin
Map01_06h,猴硐 關卡 06,跑酷模式,mGee,Summer dreamin
Map01_07e,猴硐 關卡 07,跳舞模式,MUSDM,無所遁形的貓
Map01_07n,猴硐 關卡 07,跳舞模式,MUSDM,無所遁形的貓
Map01_07h,猴硐 關卡 07,跳舞模式,MUSDM,無所遁形的貓
Map01_08e,猴硐 關卡 08,對戰模式,MUSDM,無所遁形的貓
Map01_08n,猴硐 關卡 08,對戰模式,MUSDM,無所遁形的貓
Map01_08h,猴硐 關卡 08,對戰模式,MUSDM,無所遁形的貓
Map01_09e,猴硐 關卡 09,跑酷模式,MUSDM,無所遁形的貓
Map01_09n,猴硐 關卡 09,跑酷模式,MUSDM,無所遁形的貓
Map01_09h,猴硐 關卡 09,跑酷模式,MUSDM,無所遁形的貓
Map01_10e,猴硐 關卡 10,跑酷模式,MUSDM,Call me queen
Map01_10n,猴硐 關卡 10,跑酷模式,MUSDM,Call me queen
Map01_10h,猴硐 關卡 10,跑酷模式,MUSDM,Call me queen
Map02_01e,座間味 關卡 01,跳舞模式,王舜,全壘打
Map02_01n,座間味 關卡 01,跳舞模式,王舜,全壘打
Map02_01h,座間味 關卡 01,跳舞模式,王舜,全壘打
Map02_02e,座間味 關卡 02,對戰模式,王舜,全壘打
Map02_02n,座間味 關卡 02,對戰模式,王舜,全壘打
Map02_02h,座間味 關卡 02,對戰模式,王舜,全壘打
Map02_03e,座間味 關卡 03,跑酷模式,王舜,全壘打
Map02_03n,座間味 關卡 03,跑酷模式,王舜,全壘打
Map02_03h,座間味 關卡 03,跑酷模式,王舜,全壘打
Map02_04e,座間味 關卡 04,跳舞模式,達子,Wake up Loser
Map02_04n,座間味 關卡 04,跳舞模式,達子,Wake up Loser
Map02_04h,座間味 關卡 04,跳舞模式,達子,Wake up Loser
Map02_05e,座間味 關卡 05,對戰模式,達子,Wake up Loser
Map02_05n,座間味 關卡 05,對戰模式,達子,Wake up Loser
Map02_05h,座間味 關卡 05,對戰模式,達子,Wake up Loser
Map02_06e,座間味 關卡 06,跑酷模式,達子,Wake up Loser
Map02_06n,座間味 關卡 06,跑酷模式,達子,Wake up Loser
Map02_06h,座間味 關卡 06,跑酷模式,達子,Wake up Loser
Map02_07e,座間味 關卡 07,跳舞模式,王舜,掠日彗星
Map02_07n,座間味 關卡 07,跳舞模式,王舜,掠日彗星
Map02_07h,座間味 關卡 07,跳舞模式,王舜,掠日彗星
Map02_08e,座間味 關卡 08,對戰模式,王舜,掠日彗星
Map02_08n,座間味 關卡 08,對戰模式,王舜,掠日彗星
Map02_08h,座間味 關卡 08,對戰模式,王舜,掠日彗星
Map02_09e,座間味 關卡 09,跑酷模式,王舜,掠日彗星
Map02_09n,座間味 關卡 09,跑酷模式,王舜,掠日彗星
Map02_09h,座間味 關卡 09,跑酷模式,王舜,掠日彗星
Map02_10e,座間味 關卡 10,跑酷模式,王舜,情緒來了
Map02_10n,座間味 關卡 10,跑酷模式,王舜,情緒來了
Map02_10h,座間味 關卡 10,跑酷模式,王舜,情緒來了
Map03_01e,渡嘉敷 關卡 01,跳舞模式,林瑪黛,Hope popo
Map03_01n,渡嘉敷 關卡 01,跳舞模式,林瑪黛,Hope popo
Map03_01h,渡嘉敷 關卡 01,跳舞模式,林瑪黛,Hope popo
Map03_02e,渡嘉敷 關卡 02,對戰模式,林瑪黛,Hope popo
Map03_02n,渡嘉敷 關卡 02,對戰模式,林瑪黛,Hope popo
Map03_02h,渡嘉敷 關卡 02,對戰模式,林瑪黛,Hope popo
Map03_03e,渡嘉敷 關卡 03,跑酷模式,林瑪黛,Hope popo
Map03_03n,渡嘉敷 關卡 03,跑酷模式,林瑪黛,Hope popo
Map03_03h,渡嘉敷 關卡 03,跑酷模式,林瑪黛,Hope popo
Map03_04e,渡嘉敷 關卡 04,跳舞模式,mGee,Atlantic state of mind
Map03_04n,渡嘉敷 關卡 04,跳舞模式,mGee,Atlantic state of mind
Map03_04h,渡嘉敷 關卡 04,跳舞模式,mGee,Atlantic state of mind
Map03_05e,渡嘉敷 關卡 05,對戰模式,mGee,Atlantic state of mind
Map03_05n,渡嘉敷 關卡 05,對戰模式,mGee,Atlantic state of mind
Map03_05h,渡嘉敷 關卡 05,對戰模式,mGee,Atlantic state of mind
Map03_06e,渡嘉敷 關卡 06,跑酷模式,mGee,Atlantic state of mind
Map03_06n,渡嘉敷 關卡 06,跑酷模式,mGee,Atlantic state of mind
Map03_06h,渡嘉敷 關卡 06,跑酷模式,mGee,Atlantic state of mind
Map03_07e,渡嘉敷 關卡 07,跳舞模式,林瑪黛,滿奇
Map03_07n,渡嘉敷 關卡 07,跳舞模式,林瑪黛,滿奇
Map03_07h,渡嘉敷 關卡 07,跳舞模式,林瑪黛,滿奇
Map03_08e,渡嘉敷 關卡 08,對戰模式,林瑪黛,滿奇
Map03_08n,渡嘉敷 關卡 08,對戰模式,林瑪黛,滿奇
Map03_08h,渡嘉敷 關卡 08,對戰模式,林瑪黛,滿奇
Map03_09e,渡嘉敷 關卡 09,跑酷模式,林瑪黛,滿奇
Map03_09n,渡嘉敷 關卡 09,跑酷模式,林瑪黛,滿奇
Map03_09h,渡嘉敷 關卡 09,跑酷模式,林瑪黛,滿奇
Map03_10e,渡嘉敷 關卡 10,跑酷模式,林瑪黛,孥克的詭計
Map03_10n,渡嘉敷 關卡 10,跑酷模式,林瑪黛,孥克的詭計
Map03_10h,渡嘉敷 關卡 10,跑酷模式,林瑪黛,孥克的詭計
Map04_01e,台鹼宿舍 關卡 01,跳舞模式,丁繼,滿足背後
Map04_01n,台鹼宿舍 關卡 01,跳舞模式,丁繼,滿足背後
Map04_01h,台鹼宿舍 關卡 01,跳舞模式,丁繼,滿足背後
Map04_02e,台鹼宿舍 關卡 02,對戰模式,丁繼,滿足背後
Map04_02n,台鹼宿舍 關卡 02,對戰模式,丁繼,滿足背後
Map04_02h,台鹼宿舍 關卡 02,對戰模式,丁繼,滿足背後
Map04_03e,台鹼宿舍 關卡 03,跑酷模式,丁繼,滿足背後
Map04_03n,台鹼宿舍 關卡 03,跑酷模式,丁繼,滿足背後
Map04_03h,台鹼宿舍 關卡 03,跑酷模式,丁繼,滿足背後
Map04_04e,台鹼宿舍 關卡 04,跳舞模式,達子,Hello
Map04_04n,台鹼宿舍 關卡 04,跳舞模式,達子,Hello
Map04_04h,台鹼宿舍 關卡 04,跳舞模式,達子,Hello
Map04_05e,台鹼宿舍 關卡 05,對戰模式,達子,Hello
Map04_05n,台鹼宿舍 關卡 05,對戰模式,達子,Hello
Map04_05h,台鹼宿舍 關卡 05,對戰模式,達子,Hello
Map04_06e,台鹼宿舍 關卡 06,跑酷模式,達子,Hello
Map04_06n,台鹼宿舍 關卡 06,跑酷模式,達子,Hello
Map04_06h,台鹼宿舍 關卡 06,跑酷模式,達子,Hello
Map04_07e,台鹼宿舍 關卡 07,跳舞模式,丁繼,如果愛有那麼徹底
Map04_07n,台鹼宿舍 關卡 07,跳舞模式,丁繼,如果愛有那麼徹底
Map04_07h,台鹼宿舍 關卡 07,跳舞模式,丁繼,如果愛有那麼徹底
Map04_08e,台鹼宿舍 關卡 08,對戰模式,丁繼,如果愛有那麼徹底
Map04_08n,台鹼宿舍 關卡 08,對戰模式,丁繼,如果愛有那麼徹底
Map04_08h,台鹼宿舍 關卡 08,對戰模式,丁繼,如果愛有那麼徹底
Map04_09e,台鹼宿舍 關卡 09,跑酷模式,丁繼,如果愛有那麼徹底
Map04_09n,台鹼宿舍 關卡 09,跑酷模式,丁繼,如果愛有那麼徹底
Map04_09h,台鹼宿舍 關卡 09,跑酷模式,丁繼,如果愛有那麼徹底
Map04_10e,台鹼宿舍 關卡 10,跑酷模式,丁繼,真的很真
Map04_10n,台鹼宿舍 關卡 10,跑酷模式,丁繼,真的很真
Map04_10h,台鹼宿舍 關卡 10,跑酷模式,丁繼,真的很真
MapS1_01e,澎湖 關卡 01,跳舞模式,勸世寶貝喵喵,喵電感應
MapS1_01n,澎湖 關卡 01,跳舞模式,勸世寶貝喵喵,喵電感應
MapS1_01h,澎湖 關卡 01,跳舞模式,勸世寶貝喵喵,喵電感應
MapS1_02e,澎湖 關卡 02,對戰模式,勸世寶貝喵喵,喵電感應
MapS1_02n,澎湖 關卡 02,對戰模式,勸世寶貝喵喵,喵電感應
