Id,Desc
MUI1A01,玩家首页
MUI1B01,社群页面
MUI1C01,猫窝 - 01
MUI1C02,猫窝 - 02
MUI1C03,猫窝 - 03
MUI1C04,猫窝 - 04
MUI1C05,猫窝 - 05
MUI1C06,猫窝 - 06
MUI1CS1,猫窝 - S1
MUI1CS2,猫窝 - S2
MUI2A01,猫商店
MUI2B01,猫银行
MUI2C01,猫唱片行
MUI3A01,地图 - 猴硐
MUI3A02,地图 - 座间味
MUI3A03,地图 - 渡嘉敷
MUI3A04,地图 - 台碱宿舍
MUI3A05,地图 - 兰屿
MUI3A06,地图 - 竹富
MUI3AS1,地图 - 澎湖
MUI3AS2,地图 - 那霸
MUI3B01,地图 - 南之岛
MUI3C01,地图 - 未开放
MUI4A01,探索 - 猴硐
MUI4A02,探索 - 座间味
MUI4A03,探索 - 渡嘉敷
MUI4A04,探索 - 台碱宿舍
MUI4A05,探索 - 兰屿
MUI4A06,探索 - 竹富
MUI4AS1,探索 - 澎湖
MUI4AS2,探索 - 那霸
MUI4B01,探索 - 南之岛
MUI4C01,照片 - 猴硐
MUI4C02,照片 - 座间味
MUI4C03,照片 - 渡嘉敷
MUI4C04,照片 - 台碱宿舍
MUI4C05,照片 - 兰屿
MUI4C06,照片 - 竹富
MUI4CS1,照片 - 澎湖
MUI4CS2,照片 - 那霸
MUI5A01,设定
MUI5B01,游戏教学
MUI5B02,音乐同步工具
MUI5B03,资料转移
MUI5B04,语言选择
MUI5B05,制作人员名单
