Id,Desc
MUI1A01,玩家首頁
MUI1B01,社群頁面
MUI1C01,貓窩 - 01
MUI1C02,貓窩 - 02
MUI1C03,貓窩 - 03
MUI1C04,貓窩 - 04
MUI1C05,貓窩 - 05
MUI1C06,貓窩 - 06
MUI1CS1,貓窩 - S1
MUI1CS2,貓窩 - S2
MUI2A01,貓商店
MUI2B01,貓銀行
MUI2C01,貓唱片行
MUI3A01,地圖 - 猴硐
MUI3A02,地圖 - 座間味
MUI3A03,地圖 - 渡嘉敷
MUI3A04,地圖 - 台鹼宿舍
MUI3A05,地圖 - 蘭嶼
MUI3A06,地圖 - 竹富
MUI3AS1,地圖 - 澎湖
MUI3AS2,地圖 - 那霸
MUI3B01,地圖 - 南之島
MUI3C01,地圖 - 未開放
MUI4A01,探索 - 猴硐
MUI4A02,探索 - 座間味
MUI4A03,探索 - 渡嘉敷
MUI4A04,探索 - 台鹼宿舍
MUI4A05,探索 - 蘭嶼
MUI4A06,探索 - 竹富
MUI4AS1,探索 - 澎湖
MUI4AS2,探索 - 那霸
MUI4B01,探索 - 南之島
MUI4C01,照片 - 猴硐
MUI4C02,照片 - 座間味
MUI4C03,照片 - 渡嘉敷
MUI4C04,照片 - 台鹼宿舍
MUI4C05,照片 - 蘭嶼
MUI4C06,照片 - 竹富
MUI4CS1,照片 - 澎湖
MUI4CS2,照片 - 那霸
MUI5A01,設定
MUI5B01,遊戲教學
MUI5B02,音樂同步工具
MUI5B03,資料轉移
MUI5B04,語言選擇
MUI5B05,製作人員名單
