Id,TextArtistTitle,TextSongTitle
MA01S01,MUSDM,喵喵頌
MA01S02,MUSDM,無所遁形的貓
MA01S03,MUSDM,Call me queen
MA02S01,mGee,Get on up xtra
MA02S02,mGee,Summer dreamin
MA02S03,mGee,Atlantic state of mind
MA02S04,mGee,Days of the forgotten flair
MA03S01,王舜,全壘打
MA03S02,王舜,掠日彗星
MA03S03,王舜,情緒來了
MA04S01,達子,Wake up Loser
MA04S02,達子,Hello
MA04S03,達子,So good
MA05S01,林瑪黛,Hope popo
MA05S02,林瑪黛,滿奇
MA05S03,林瑪黛,孥克的詭計
MA06S01,丁繼,滿足背後
MA06S02,丁繼,如果愛有那麼徹底
MA06S03,丁繼,真的很真
MA07S01,勸世寶貝喵喵,莫名其妙的喵
MA07S02,勸世寶貝喵喵,喵喵的異次元
MA07S03,勸世寶貝喵喵,喵電感應
MA07S04,勸世寶貝喵喵,喵電感應 丁繼Remix
MA07S05,勸世寶貝喵喵,喵電感應 王舜Remix
