Id,TextArtistTitle,TextSongTitle
MA01S01,MUSDM,喵喵頌
MA01S02,MUSDM,無所遁形的貓
MA01S03,MUSDM,Call me queen
MA02S01,mGee,Get on up xtra
MA02S02,mGee,Summer dreamin
MA02S03,mGee,Atlantic state of mind
MA02S04,mGee,Days of the forgotten flair
MA03S01,王舜,全壘打
MA03S02,王舜,掠日彗星
MA03S03,王舜,情緒來了
MA04S01,Duzs,Wake up Loser
MA04S02,Duzs,Hello
MA04S03,Duzs,So good
MA05S01,林瑪黛,Hope popo
MA05S02,林瑪黛,滿奇
MA05S03,林瑪黛,孥克的詭計
MA06S01,Stingie,滿足背後
MA06S02,Stingie,如果愛有那麼徹底
MA06S03,Stingie,真的很真
MA07S01,Trance Baby Meow,莫名其妙的喵
MA07S02,Trance Baby Meow,喵喵的異次元
MA07S03,Trance Baby Meow,喵電感應
MA07S04,Trance Baby Meow,喵電感應 Stingie Remix
MA07S05,Trance Baby Meow,喵電感應 Wang Shun Remix
