ID,Name,Type
SPS1S01,MS1S01,S
SPS1S02,MS1S02,S
SPS1S03,MS1S03,S
SPS1S04,MS1S04,S
SPS1S05,MS1S05,S
SPS1S06,MS1S06,S
SPS1S07,MS1S07,S
SPS1S08,MS1S08,S
SPS1S09,MS1S09,S
SPS1S10,MS1S10,S
SPS1S11,MS1S11,S
SPS1S12,MS1S12,S
SPS1S13,MS1S13,S
SPS1S14,MS1S14,S
SPS1S15,MS1S15,S
SPS1S16,MS1S16,S
SPS1S17,MS1S17,S
SPS1S18,MS1S18,S
SPS1S19,MS1S19,S
SPS1S20,MS1S20,S
SPS1S21,MS1S21,S
SPS1S22,MS1S22,S
SPS1S23,MS1S23,S
SPS1S24,MS1S24,S
SPS1S25,MS1S25,S
SPS1S26,MS1S26,S
SPS1S27,MS1S27,S
SPS1S28,MS1S28,S
SPS1S29,MS1S29,S
SPS1S30,MS1S30,S
SPS1S31,MS1S31,S
SPS1S32,MS1S32,S
SPS1S33,MS1S33,S
SPS1S34,MS1S34,S
SPS1S35,MS1S35,S
SPS1S36,MS1S36,S
BPS1S01,MS1B01,B
BPS1S02,MS1B02,B
BPS1S03,MS1B03,B
BPS1S04,MS1B04,B
BPS1S05,MS1B05,B
BPS1S06,MS1B06,B
