Id,Title,Ch,Desc
Tips01,秘訣 01,CI01,每日可觀看獎勵廣告8次，每次可獲得1張貓銀票。
Tips02,秘訣 02,CI02,通關一個地圖的全部Easy關卡，可獲得2張貓銀票。
Tips03,秘訣 03,CI02,通關一個地圖的全部Normal關卡，可獲得5張貓銀票。
Tips04,秘訣 04,CI02,通關一個地圖的全部Hard關卡，可獲得10張貓銀票。
Tips05,秘訣 05,CI03,攜帶到關卡中的食物道具，在HP為0時會自動使用。
Tips06,秘訣 06,CI03,攜帶到關卡中的食物道具，若無使用會自動回到道具倉庫。
Tips07,秘訣 07,CI04,使用同一隻貓咪連續玩太多關卡，貓咪會睡著。
Tips08,秘訣 08,CI04,貓咪睡著時，可撫摸把貓咪叫醒。
Tips09,秘訣 09,CI05,不同體型的貓擅長不同模式的遊戲關卡。
Tips10,秘訣 10,CI05,每一關卡可獲得的道具與機率，可到貓唱片行查詢。
Tips11,秘訣 11,CI06,點擊貓咪頭像可直接開啟互動視窗。
Tips12,秘訣 12,CI07,撫摸貓咪可增加EXP。
Tips13,秘訣 13,CI07,貓咪生氣時，可使用貓草讓貓咪冷靜下來。
Tips14,秘訣 14,CI08,貓咪興奮時，跟他玩玩具可增加EXP。
Tips15,秘訣 15,CI08,不同體型的貓咪，喜歡的玩具不一樣。
Tips16,秘訣 16,CI09,貓咪的HP降低時，需要吃食物回復。
Tips17,秘訣 17,CI10,若捕捉到重覆的貓咪會直接增加該貓咪的EXP500。
Tips18,秘訣 18,CI10,要捕捉到貓，必須要在猫商店購買該體型的捕捉專用道具。
Tips19,秘訣 19,CI10,每隻貓有不同的棲息地，可到遊戲教學查詢。
Tips20,秘訣 20,CI11,在貓咪遊樂場使用相機，可獲得該地圖的相片。
Tips21,秘訣 21,CI11,獲得一般相片時，會自動獲得1張貓銀票。
Tips22,秘訣 22,CI11,獲得環景相片時，會自動獲得5張貓銀票。
Tips23,秘訣 23,CI12,記得到首頁的郵箱領取每日的獎勵。
Tips24,秘訣 24,CI12,每日的獎勵會在每月1日重新計算。
Tips25,秘訣 25,CI12,招待每一位好友可獲得5張貓銀票。
