ID,Page,Desc
TP01T01,TP01,节奏游戏
TP01T02,TP01,题示点
TP01T03,TP01,上滑与下滑
TP01T04,TP01,连打
TP01T05,TP01,搓猫掌
TP01T06,TP01,点击猫掌
TP01T07,TP01,上滑与下滑猫掌
TP01T08,TP01,连打猫掌
TP01T09,TP01,狂搓猫掌
TP02T01,TP02,互动模式
TP02T02,TP02,互动
TP02T03,TP02,抚摸
TP02T04,TP02,生气
TP02T05,TP02,加速
TP02T06,TP02,打开互动模式视窗
TP02T07,TP02,抚摸猫增加EXP
TP02T08,TP02,摸太多猫会生气
TP02T09,TP02,使用猫草让它冷静
TP03T01,TP03,互动模式
TP03T02,TP03,饿
TP03T03,TP03,睡
TP03T04,TP03,兴奋
TP03T05,TP03,体型
TP03T06,TP03,喂猫增加HP
TP03T07,TP03,抚摸猫叫它起床
TP03T08,TP03,玩猫玩具增加EXP
TP03T09,TP03,专用的猫玩具
TP04T01,TP04,探索模式
TP04T02,TP04,猫咪游乐场
TP04T03,TP04,等待
TP04T04,TP04,加速
TP04T05,TP04,体型
TP04T06,TP04,使用捕猫道具
TP04T07,TP04,得到新的猫
TP04T08,TP04,使用猫草来节省时间
TP04T09,TP04,专用的捕猫道具
TP05T01,TP05,探索模式
TP05T02,TP05,栖息地
TP05T03,TP05,猴硐
TP05T04,TP05,座间味
TP05T05,TP05,渡嘉敷
TP05T06,TP05,南岛地图
TP05T07,TP05,
TP05T08,TP05,
TP05T09,TP05,
TP06T01,TP06,探索模式
TP06T02,TP06,猫咪游乐场
TP06T03,TP06,等待
TP06T04,TP06,加速
TP06T05,TP06,相机
TP06T06,TP06,使用相机
TP06T07,TP06,得到新照片
TP06T08,TP06,使用三脚架来节省时间
TP06T09,TP06,高性能相机
