ID,Page,Desc
TP01T01,TP01,節奏遊戲
TP01T02,TP01,題示點
TP01T03,TP01,上滑與下滑
TP01T04,TP01,連打
TP01T05,TP01,搓貓掌
TP01T06,TP01,點擊貓掌
TP01T07,TP01,上滑與下滑貓掌
TP01T08,TP01,連打貓掌
TP01T09,TP01,狂搓貓掌
TP02T01,TP02,互動模式
TP02T02,TP02,互動
TP02T03,TP02,撫摸
TP02T04,TP02,生氣
TP02T05,TP02,加速
TP02T06,TP02,打開互動模式視窗
TP02T07,TP02,撫摸貓增加EXP
TP02T08,TP02,摸太多貓會生氣
TP02T09,TP02,使用貓草讓牠冷靜
TP03T01,TP03,互動模式
TP03T02,TP03,餓
TP03T03,TP03,睡
TP03T04,TP03,興奮
TP03T05,TP03,體型
TP03T06,TP03,餵貓增加HP
TP03T07,TP03,撫摸貓叫牠起床
TP03T08,TP03,玩貓玩具增加EXP
TP03T09,TP03,專用的貓玩具
TP04T01,TP04,探索模式
TP04T02,TP04,貓咪遊樂場
TP04T03,TP04,等待
TP04T04,TP04,加速
TP04T05,TP04,體型
TP04T06,TP04,使用捕貓道具
TP04T07,TP04,得到新的貓
TP04T08,TP04,使用貓草來節省時間
TP04T09,TP04,專用的捕貓道具
TP05T01,TP05,探索模式
TP05T02,TP05,棲息地
TP05T03,TP05,猴硐
TP05T04,TP05,座間味
TP05T05,TP05,渡嘉敷
TP05T06,TP05,南島地圖
TP05T07,TP05,
TP05T08,TP05,
TP05T09,TP05,
TP06T01,TP06,探索模式
TP06T02,TP06,貓咪遊樂場
TP06T03,TP06,等待
TP06T04,TP06,加速
TP06T05,TP06,相機
TP06T06,TP06,使用相機
TP06T07,TP06,得到新照片
TP06T08,TP06,使用三腳架來節省時間
TP06T09,TP06,高性能相機
